time (UTC),hex,callsign,latitude,longitude,Altitude (ft AMSL),squawk,Ground speed (kts),track,Vertical speed (fpm)
2018-10-28 23:20:55Z.556,0x8a0711,,0,0,0,1742,185,248,896
2018-10-28 23:20:59Z.554,0x8a0711,,0,0,0,1742,187,249,1216
2018-10-28 23:21:01Z.562,0x8a0711,,0,0,0,1742,188,249,1088
2018-10-28 23:21:02Z.712,0x8a0711,,0,0,200,1742,189,249,1024
2018-10-28 23:21:03Z.996,0x8a0711,,0,0,250,1742,189,249,1024
2018-10-28 23:21:05Z.140,0x8a0711,LNI610  ,-6.14429,106.63884,250,1742,191,250,832
2018-10-28 23:21:05Z.780,0x8a0711,,-6.14448,106.63832,250,1742,193,249,768
2018-10-28 23:21:06Z.046,0x8a0711,,0,0,275,1742,189,249,1024
2018-10-28 23:21:07Z.858,0x8a0711,LNI610,-6.14511,106.6366,300,1742,195,249,832
2018-10-28 23:21:10Z.096,0x8a0711,,-6.14594,106.63441,350,1742,196,249,1024
2018-10-28 23:21:10Z.158,0x8a0711,LNI610  ,-6.14594,106.63442,350,1742,197,250,1088
2018-10-28 23:21:10Z.366,0x8a0711,LNI610,-6.14612,106.6339,375,1742,196,249,896
2018-10-28 23:21:13Z.814,0x8a0711,LNI610,-6.14718,106.63088,450,1742,201,250,1536
2018-10-28 23:21:14Z.138,0x8a0711,,-6.1469,106.63172,425,1742,200,249,1344
2018-10-28 23:21:15Z.174,0x8a0711,LNI610  ,-6.1469,106.63172,425,1742,200,250,1344
2018-10-28 23:21:16Z.700,0x8a0711,,-6.14811,106.62833,575,1742,203,250,1536
2018-10-28 23:21:18Z.166,0x8a0711,LNI610,-6.14827,106.6279,600,1742,203,250,1536
2018-10-28 23:21:19Z.810,0x8a0711,,-6.14904,106.62572,625,1742,204,250,1280
2018-10-28 23:21:19Z.966,0x8a0711,LNI610,-6.14918,106.62534,625,1742,204,250,1344
2018-10-28 23:21:20Z.152,0x8a0711,LNI610  ,-6.14918,106.62535,625,1742,206,250,1344
2018-10-28 23:21:22Z.494,0x8a0711,,0,0,700,1742,206,250,1472
2018-10-28 23:21:22Z.858,0x8a0711,,-6.14992,106.62315,700,1742,206,250,1472
2018-10-28 23:21:23Z.954,0x8a0711,LNI610,-6.15011,106.6227,725,1742,206,250,1472
2018-10-28 23:21:23Z.976,0x8a0711,,0,0,725,1742,205,250,1408
2018-10-28 23:21:25Z.062,0x8a0711,,-6.15067,106.62113,775,1742,207,250,1600
