Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1610174225,2021-01-09T06:37:05Z,SJY182,"-6.122257,106.649513",0,0,74
1610174256,2021-01-09T06:37:36Z,SJY182,"-6.12204,106.649384",0,3,323
1610174274,2021-01-09T06:37:54Z,SJY182,"-6.121834,106.649231",0,3,326
1610174299,2021-01-09T06:38:19Z,SJY182,"-6.121582,106.649277",0,3,25
1610174343,2021-01-09T06:39:03Z,SJY182,"-6.121822,106.649223",0,0,33
1610174378,2021-01-09T06:39:38Z,SJY182,"-6.121445,106.649452",0,0,90
1610174431,2021-01-09T06:40:31Z,SJY182,"-6.121561,106.649185",0,5,250
1610174442,2021-01-09T06:40:42Z,SJY182,"-6.121674,106.648964",0,6,230
1610174452,2021-01-09T06:40:52Z,SJY182,"-6.12188,106.648888",0,5,177
1610174462,2021-01-09T06:41:02Z,SJY182,"-6.12212,106.648964",0,6,151
1610174482,2021-01-09T06:41:22Z,SJY182,"-6.122376,106.649109",0,1,154
1610174576,2021-01-09T06:42:56Z,SJY182,"-6.121584,106.649117",0,0,244
1610176510,2021-01-09T07:15:10Z,SJY182,"-6.12212,106.648972",0,3,334
1610176537,2021-01-09T07:15:37Z,SJY182,"-6.121782,106.64888",0,3,14
1610176640,2021-01-09T07:17:20Z,SJY182,"-6.122097,106.648964",0,0,90
1610176686,2021-01-09T07:18:06Z,SJY182,"-6.121608,106.649025",0,0,213
1610176704,2021-01-09T07:18:24Z,SJY182,"-6.121701,106.648811",0,5,250
1610176712,2021-01-09T07:18:32Z,SJY182,"-6.121777,106.64859",0,7,250
1610176720,2021-01-09T07:18:40Z,SJY182,"-6.121875,106.648361",0,8,247
1610176727,2021-01-09T07:18:47Z,SJY182,"-6.12198,106.648087",0,9,247
1610176732,2021-01-09T07:18:52Z,SJY182,"-6.12205,106.647873",0,9,258
1610176740,2021-01-09T07:19:00Z,SJY182,"-6.122038,106.647614",0,8,284
1610176760,2021-01-09T07:19:20Z,SJY182,"-6.121445,106.647232",0,10,340
1610176765,2021-01-09T07:19:25Z,SJY182,"-6.121177,106.647141",0,11,337
1610176771,2021-01-09T07:19:31Z,SJY182,"-6.120886,106.647018",0,12,337
1610176784,2021-01-09T07:19:44Z,SJY182,"-6.120258,106.646782",0,11,343
1610176800,2021-01-09T07:20:00Z,SJY182,"-6.119676,106.647034",0,11,59
1610176806,2021-01-09T07:20:06Z,SJY182,"-6.119559,106.647339",0,13,67
1610176814,2021-01-09T07:20:14Z,SJY182,"-6.119373,106.647812",0,14,67
1610176820,2021-01-09T07:20:20Z,SJY182,"-6.119225,106.648186",0,16,67
