time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track
2021-01-09 07:19:00Z.126,0x8a030b,SJY182,0,0,P,0,3327,8,278
2021-01-09 07:19:00Z.522,0x8a030b,SJY182,-6.12204,106.64761,P,0,3327,8,284
2021-01-09 07:19:02Z.630,0x8a030b,SJY182,0,0,P,0,3327,7,292
2021-01-09 07:19:05Z.130,0x8a030b,SJY182,0,0,P,0,3327,7,306
2021-01-09 07:19:06Z.752,0x8a030b,SJY182,-6.12192,106.64745,P,0,3327,7,317
2021-01-09 07:19:08Z.152,0x8a030b,SJY182,-6.12188,106.64742,P,0,3327,8,320
2021-01-09 07:19:11Z.124,0x8a030b,SJY182,0,0,P,0,3327,8,334
2021-01-09 07:19:14Z.174,0x8a030b,SJY182,0,0,P,0,3327,9,337
2021-01-09 07:19:18Z.178,0x8a030b,SJY182,0,0,P,0,3327,10,337
2021-01-09 07:19:20Z.032,0x8a030b,SJY182,-6.12144,106.64723,P,0,3327,10,340
2021-01-09 07:19:20Z.472,0x8a030b,SJY182,-6.1214,106.64722,P,0,3327,11,340
2021-01-09 07:19:23Z.132,0x8a030b,SJY182,0,0,P,0,3327,11,340
2021-01-09 07:19:25Z.228,0x8a030b,SJY182,-6.12118,106.64714,P,0,3327,11,337
2021-01-09 07:19:26Z.270,0x8a030b,SJY182,-6.12112,106.64713,P,0,3327,12,337
2021-01-09 07:19:30Z.036,0x8a030b,SJY182,-6.121,106.64707,P,0,3327,12,337
2021-01-09 07:19:31Z.212,0x8a030b,SJY182,-6.12089,106.64702,P,0,3327,12,337
2021-01-09 07:19:31Z.826,0x8a030b,SJY182,0,0,P,0,3327,12,337
2021-01-09 07:19:33Z.160,0x8a030b,SJY182,-6.12079,106.64699,P,0,3327,12,337
2021-01-09 07:19:34Z.822,0x8a030b,SJY182,-6.12074,106.64697,P,0,3327,12,337
2021-01-09 07:19:36Z.126,0x8a030b,SJY182,0,0,P,0,3327,12,337
2021-01-09 07:19:38Z.108,0x8a030b,SJY182,0,0,P,0,3327,11,337
2021-01-09 07:19:42Z.152,0x8a030b,SJY182,0,0,P,0,3327,11,337
2021-01-09 07:19:44Z.314,0x8a030b,SJY182,-6.12026,106.64678,P,0,3327,11,343
2021-01-09 07:19:48Z.272,0x8a030b,SJY182,0,0,P,0,3327,10,348
2021-01-09 07:19:50Z.184,0x8a030b,SJY182,0,0,P,0,3327,9,2
2021-01-09 07:19:54Z.302,0x8a030b,SJY182,0,0,P,0,3327,10,19
2021-01-09 07:19:56Z.282,0x8a030b,SJY182,0,0,P,0,3327,10,39
2021-01-09 07:19:59Z.824,0x8a030b,SJY182,0,0,P,0,3327,11,56
2021-01-09 07:20:00Z.062,0x8a030b,SJY182,-6.11968,106.64703,P,0,3327,11,59
2021-01-09 07:20:02Z.278,0x8a030b,SJY182,0,0,P,0,3327,11,59
2021-01-09 07:20:03Z.884,0x8a030b,SJY182,-6.11962,106.6472,P,0,3327,12,70
2021-01-09 07:20:06Z.312,0x8a030b,SJY182,0,0,P,0,3327,12,70
2021-01-09 07:20:06Z.856,0x8a030b,SJY182,-6.11956,106.64734,P,0,3327,13,67
2021-01-09 07:20:08Z.268,0x8a030b,SJY182,0,0,P,0,3327,13,67
2021-01-09 07:20:10Z.240,0x8a030b,SJY182,-6.11949,106.64751,P,0,3327,13,67
2021-01-09 07:20:10Z.328,0x8a030b,SJY182,-6.11947,106.64757,P,0,3327,13,67
2021-01-09 07:20:14Z.086,0x8a030b,SJY182,-6.1194,106.64776,P,0,3327,14,67
2021-01-09 07:20:14Z.614,0x8a030b,SJY182,-6.11937,106.64781,P,0,3327,14,67
2021-01-09 07:20:16Z.598,0x8a030b,SJY182,-6.11935,106.64789,P,0,3327,15,67
2021-01-09 07:20:17Z.768,0x8a030b,SJY182,0,0,P,0,3327,15,67
2021-01-09 07:20:20Z.248,0x8a030b,,-6.11925,106.64812,P,0,3327,16,70
2021-01-09 07:20:20Z.358,0x8a030b,,0,0,P,0,3327,16,70
2021-01-09 07:20:20Z.490,0x8a030b,SJY182,-6.11922,106.64819,P,0,3327,16,67
2021-01-09 07:20:20Z.502,0x8a030b,SJY182,-6.11925,106.64812,P,0,3327,16,70
2021-01-09 07:20:21Z.780,0x8a030b,,0,0,P,0,3327,16,70
2021-01-09 07:20:21Z.934,0x8a030b,SJY182,-6.1192,106.64825,P,0,3327,16,70
2021-01-09 07:20:22Z.386,0x8a030b,SJY182,-6.11918,106.64832,P,0,3327,16,70
2021-01-09 07:20:23Z.474,0x8a030b,SJY182,0,0,P,0,3327,16,70
2021-01-09 07:20:24Z.522,0x8a030b,SJY182,-6.11912,106.64847,P,0,3327,16,70
2021-01-09 07:20:25Z.934,0x8a030b,SJY182,-6.11909,106.64854,P,0,3327,17,70
2021-01-09 07:20:26Z.988,0x8a030b,SJY182,-6.11906,106.64861,P,0,3327,17,70
2021-01-09 07:20:28Z.018,0x8a030b,SJY182,-6.11904,106.64868,P,0,3327,17,67
2021-01-09 07:20:28Z.572,0x8a030b,SJY182,-6.119,106.64877,P,0,3327,17,67
2021-01-09 07:20:30Z.178,0x8a030b,SJY182,-6.11898,106.64884,P,0,3327,17,67
2021-01-09 07:20:30Z.622,0x8a030b,SJY182,-6.11894,106.64892,P,0,3327,18,67
2021-01-09 07:20:32Z.186,0x8a030b,SJY182,-6.11891,106.64899,P,0,3327,18,67
2021-01-09 07:20:33Z.234,0x8a030b,SJY182,-6.11888,106.64907,P,0,3327,18,67
2021-01-09 07:20:34Z.274,0x8a030b,SJY182,-6.11884,106.64919,P,0,3327,18,67
2021-01-09 07:20:34Z.286,0x8a030b,SJY182,-6.11885,106.64915,P,0,3327,18,67
2021-01-09 07:20:36Z.660,0x8a030b,SJY182,-6.11879,106.64929,P,0,3327,18,67
2021-01-09 07:20:36Z.774,0x8a030b,SJY182,-6.11876,106.64939,P,0,3327,19,67
2021-01-09 07:20:38Z.382,0x8a030b,SJY182,-6.1187,106.64952,P,0,3327,19,67
2021-01-09 07:20:40Z.034,0x8a030b,SJY182,-6.11866,106.64962,P,0,3327,19,67
2021-01-09 07:20:40Z.472,0x8a030b,SJY182,-6.11863,106.64969,P,0,3327,19,67
2021-01-09 07:20:42Z.044,0x8a030b,SJY182,-6.1186,106.64977,P,0,3327,19,67
2021-01-09 07:20:42Z.422,0x8a030b,SJY182,-6.11856,106.64985,P,0,3327,20,67
2021-01-09 07:20:44Z.284,0x8a030b,SJY182,-6.11853,106.64996,P,0,3327,20,67
2021-01-09 07:20:44Z.792,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:20:46Z.556,0x8a030b,SJY182,-6.11843,106.65019,P,0,3327,20,67
2021-01-09 07:20:47Z.582,0x8a030b,SJY182,-6.11838,106.65029,P,0,3327,20,67
2021-01-09 07:20:48Z.622,0x8a030b,SJY182,-6.11835,106.65038,P,0,3327,20,67
2021-01-09 07:20:50Z.034,0x8a030b,SJY182,-6.11832,106.65045,P,0,3327,20,67
2021-01-09 07:20:51Z.192,0x8a030b,SJY182,-6.11829,106.65055,P,0,3327,21,67
2021-01-09 07:20:52Z.168,0x8a030b,SJY182,-6.11824,106.65064,P,0,3327,21,67
2021-01-09 07:20:52Z.958,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:20:54Z.674,0x8a030b,SJY182,-6.11814,106.65091,P,0,3327,21,67
2021-01-09 07:20:56Z.236,0x8a030b,SJY182,-6.1181,106.651,P,0,3327,21,67
2021-01-09 07:20:57Z.088,0x8a030b,SJY182,-6.11807,106.65108,P,0,3327,22,67
2021-01-09 07:20:58Z.622,0x8a030b,SJY182,-6.11799,106.65127,P,0,3327,22,67
2021-01-09 07:21:00Z.128,0x8a030b,SJY182,-6.11795,106.65137,P,0,3327,22,67
2021-01-09 07:21:02Z.084,0x8a030b,SJY182,-6.11789,106.65154,P,0,3327,22,67
2021-01-09 07:21:02Z.128,0x8a030b,SJY182,0,0,P,0,3327,22,67
2021-01-09 07:21:03Z.924,0x8a030b,,0,0,P,0,3327,16,70
2021-01-09 07:21:04Z.184,0x8a030b,SJY182,-6.1178,106.65175,P,0,3327,23,67
2021-01-09 07:21:04Z.624,0x8a030b,SJY182,-6.11776,106.65184,P,0,3327,23,67
2021-01-09 07:21:06Z.090,0x8a030b,SJY182,-6.11773,106.65192,P,0,3327,23,67
2021-01-09 07:21:06Z.724,0x8a030b,SJY182,-6.11769,106.65204,P,0,3327,23,67
2021-01-09 07:21:07Z.576,0x8a030b,,0,0,P,0,3327,16,70
2021-01-09 07:21:09Z.102,0x8a030b,SJY182,-6.11762,106.65222,P,0,3327,23,67
2021-01-09 07:21:10Z.672,0x8a030b,SJY182,-6.11753,106.65242,P,0,3327,23,67
2021-01-09 07:21:11Z.514,0x8a030b,,0,0,P,0,3327,24,67
2021-01-09 07:21:11Z.832,0x8a030b,SJY182,0,0,P,0,3327,23,67
2021-01-09 07:21:11Z.860,0x8a030b,,-6.11753,106.65242,P,0,3327,23,67
2021-01-09 07:21:14Z.184,0x8a030b,SJY182,-6.11741,106.65273,P,0,3327,24,67
2021-01-09 07:21:14Z.722,0x8a030b,SJY182,-6.11736,106.65285,P,0,3327,24,67
2021-01-09 07:21:15Z.726,0x8a030b,SJY182,-6.11735,106.65289,P,0,3327,24,70
2021-01-09 07:21:16Z.564,0x8a030b,SJY182,-6.11729,106.65302,P,0,3327,24,70
2021-01-09 07:21:17Z.992,0x8a030b,SJY182,-6.11723,106.65318,P,0,3327,24,70
2021-01-09 07:21:40Z.198,0x8a030b,SJY182,-6.11639,106.65533,P,0,3327,23,67
2021-01-09 07:21:40Z.946,0x8a030b,SJY182,-6.11634,106.65546,P,0,3327,23,67
2021-01-09 07:21:44Z.282,0x8a030b,SJY182,-6.1162,106.65581,P,0,3327,23,67
2021-01-09 07:21:48Z.756,0x8a030b,SJY182,-6.11603,106.65623,P,0,3327,23,67
2021-01-09 07:21:50Z.602,0x8a030b,SJY182,-6.11597,106.65635,P,0,3327,23,67
2021-01-09 07:21:51Z.102,0x8a030b,SJY182,0,0,P,0,3327,23,67
2021-01-09 07:21:54Z.618,0x8a030b,SJY182,0,0,P,0,3327,23,67
2021-01-09 07:21:57Z.192,0x8a030b,SJY182,0,0,P,0,3327,23,67
2021-01-09 07:22:00Z.660,0x8a030b,SJY182,0,0,P,0,3327,22,67
2021-01-09 07:22:04Z.150,0x8a030b,SJY182,-6.11549,106.65761,P,0,3327,22,67
2021-01-09 07:22:06Z.628,0x8a030b,SJY182,0,0,P,0,3327,22,67
2021-01-09 07:22:08Z.678,0x8a030b,SJY182,-6.11529,106.65807,P,0,3327,22,67
2021-01-09 07:22:13Z.092,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:16Z.142,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:17Z.198,0x8a030b,SJY182,-6.11496,106.6589,P,0,3327,21,67
2021-01-09 07:22:18Z.046,0x8a030b,SJY182,-6.11494,106.65897,P,0,3327,21,67
2021-01-09 07:22:18Z.598,0x8a030b,SJY182,-6.11492,106.659,P,0,3327,21,67
2021-01-09 07:22:21Z.116,0x8a030b,SJY182,0,0,P,0,3327,21,67
2021-01-09 07:22:24Z.128,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:27Z.880,0x8a030b,SJY182,-6.11462,106.65972,P,0,3327,20,67
2021-01-09 07:22:29Z.238,0x8a030b,SJY182,-6.11454,106.65991,P,0,3327,20,67
2021-01-09 07:22:30Z.234,0x8a030b,SJY182,-6.11451,106.66,P,0,3327,20,67
2021-01-09 07:22:33Z.184,0x8a030b,SJY182,0,0,P,0,3327,20,70
2021-01-09 07:22:36Z.652,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:39Z.138,0x8a030b,SJY182,0,0,P,0,3327,20,67
2021-01-09 07:22:41Z.208,0x8a030b,SJY182,-6.11414,106.66093,P,0,3327,21,67
2021-01-09 07:22:42Z.182,0x8a030b,SJY182,-6.1141,106.66102,P,0,3327,21,67
